school_code|school_name|district|block|clustor
29020704901|GHS GANJIHAL|BAGALKOT|HUNAGUND|GANJIHAL
29020705001|SHUKUMUNESH HS GATTIGNUR UNAID|BAGALKOT|HUNAGUND|GATTIGANUR
29020705701|GUHS GUDUR SC|BAGALKOT|HUNAGUND|GUDUR
29020705702|AKP ISHWAR KHODE HS GUDUR AID|BAGALKOT|HUNAGUND|GUDUR
29020705703|GOVT JR.COLLEGE GUDUR|BAGALKOT|HUNAGUND|GUDUR
29020705704|MAHATAMA GANDHI SCH GUDUR|BAGALKOT|HUNAGUND|GUDUR
29020706401|SRI.MURAGENDRA S HS HAVARAGI AIDED|BAGALKOT|HUNAGUND|HAVARAGI
29020706901|GHS HIREBADAWADAGI|BAGALKOT|HUNAGUND|HIRE BADAVADGI
29020707101|GHS HIREKODAGALI|BAGALKOT|HUNAGUND|HIRE KODAGALI
29020707201|GHS HIREMAGI|BAGALKOT|HUNAGUND|HIRE MAGI
29020707401|GHS SRI.M.B.V.S HIRESHINGANGUTTI|BAGALKOT|HUNAGUND|HIRE SINGANAGUTTI
29020708001|GOVT JR.COLLEGE,HUNAGUND|BAGALKOT|HUNAGUND|HUNGUND RURAL (T.P)
29020708002|V.M.S.R.VASTRAD JR.COLLEGE,HUNAGUND|BAGALKOT|HUNAGUND|HUNGUND RURAL (T.P)
29020708301|SRI.SHARN BASV HS IDDALAGI AIDED|BAGALKOT|HUNAGUND|IDDALGI
29020708401|GOVT JR.COLLEGE ILAKAL|BAGALKOT|HUNAGUND|ILKAL RURAL
29020708402|GOVT GIRLS  JR.COLLEGE ILKAL|BAGALKOT|HUNAGUND|ILKAL RURAL
29020708403|S.M.S KADARI JR.COLLEGE ILKAL|BAGALKOT|HUNAGUND|ILKAL RURAL
29020708404|VIJAY MANTESH JR.COLLEGE,ILKAL|BAGALKOT|HUNAGUND|ILKAL RURAL
29020708405|VIJAY MANTESH MAHILA JR.COLLEGE,ILKAL|BAGALKOT|HUNAGUND|ILKAL RURAL
29020708701|GHS INGALAGI|BAGALKOT|HUNAGUND|INGALGI
29020709001|GHS JAMBALDINNI|BAGALKOT|HUNAGUND|JAMBALDINNI
29020709201|GHS KADIWAL|BAGALKOT|HUNAGUND|KADIVAL (INAM)
29020709701|SHIVASHARANE K. HS KAMATAGI AIDED|BAGALKOT|HUNAGUND|KAMATGI
29020709702|SRI.HUCHESWAR COMP JR COLLEG HIGH SCHOOL SECTION KAMATAGI AIDED|BAGALKOT|HUNAGUND|KAMATGI
29020709703|SRI.SEVALAL HS KAMATAGI UNAIDED|BAGALKOT|HUNAGUND|KAMATGI
29020709704|SHAKAMBARI JR.COLLEGE KAMATAGI|BAGALKOT|HUNAGUND|KAMATGI
29020709705|HUCHCHESHWAR JR.COLLEGE, KAMATAGI|BAGALKOT|HUNAGUND|KAMATGI
29020709801|MATHOSRI SHARN HS KAMBALIHAL UNAIDED|BAGALKOT|HUNAGUND|KAMBLIHAL
29020709901|GHS  KANDAGAL|BAGALKOT|HUNAGUND|KANDAGAL
29020709902|SAJJALSHREE HIGH SCHOOL KANDAGAL|BAGALKOT|HUNAGUND|KANDAGAL
29020710001|GHS KARADI|BAGALKOT|HUNAGUND|KARADI
29020710201|SRI.GURU MANTESHWAR HS KELUR UNAIDED|BAGALKOT|HUNAGUND|KELUR
29020712101|GHS MAROL|BAGALKOT|HUNAGUND|MAROL
29020712301|SRI.MARADI MALLESHWAR HS MUGANUR AIDED|BAGALKOT|HUNAGUND|MUGANUR
29020712501|GHS MURADI|BAGALKOT|HUNAGUND|MURADI
29020712601|GHS NAGUR|BAGALKOT|HUNAGUND|NAGUR
29020712801|GHS NANDAWADAGI|BAGALKOT|HUNAGUND|NANDAWADGI
29020713801|GHS KUDAL SANGAM|BAGALKOT|HUNAGUND|SANGAM
29020713802|SRI.SANGAMESHWAR HS KUDAL SANGAM AIDED|BAGALKOT|HUNAGUND|SANGAM
29020713803|SANGAMESHWAR JR.COLLEGE KUDAL SANGAM|BAGALKOT|HUNAGUND|SANGAM
29020714201|SRI.SARASWATI B. HS SULIBHAVI UNAIDED|BAGALKOT|HUNAGUND|SULEBHAVI
29020714202|GOVT COMPOSITE JR.COLLEGE HS-SECTION SULIBHAVI|BAGALKOT|HUNAGUND|SULEBHAVI
29020714203|GOVT JR.COLLEGE SULIBHAVI|BAGALKOT|HUNAGUND|SULEBHAVI
29020714801|SRI.GURU SIDDESHWAR HS TUMB UNAIDED|BAGALKOT|HUNAGUND|TUMBA
29020715201|GHS VADAGERI|BAGALKOT|HUNAGUND|VADAGERI
29020716101|SIDDARTH HS ILKAL AIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.1
29020716301|BASAMMA G RESHMI MEM. HS ILKAL|BAGALKOT|HUNAGUND|ILKAL WARD NO.3
29020716601|VIJAY MANTESH HS ILKAL AIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.6
29020716602|S.R.KANTHI GIRLS HS ILKAL UNAIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.6
29020716603|VIJAY MANTESH ENG MEDIUM HS ILKAL UNAIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.6
29020716801|SAJJAN HIGH SCHOOL ILKAL|BAGALKOT|HUNAGUND|ILKAL WARD NO.8
29020717001|J.C.HIGH SCHOOL ILKAL UNAIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.10
29020717002|SRI.MARKANDESH HS ILKAL UNAIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.10
29020717401|GOVT (HS SECTION) COMPOSITE JR.COLLEGE ILKAL|BAGALKOT|HUNAGUND|ILKAL WARD NO.14
29020718101|ACO.S. ENG M- HS ILKAL UNAIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.21
29020718102|ACO.S.KAN MEDIUM HS ILKAL UNAIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.21
29020718401|GIRLS GHS ILKAL|BAGALKOT|HUNAGUND|ILKAL WARD NO.24
29020718501|SRI.S.M.S KHADRI HS ILKAL AIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.25
29020718502|SANGANBASAVESHWAR HS ILKAL AIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.25
29020718601|MADARI HIGH SCH ILKAL AIDED|BAGALKOT|HUNAGUND|ILKAL WARD NO.26
29020718801|GUHS HUNAGUND|BAGALKOT|HUNAGUND|HUNAGUND WARD.1
29020718802|RAJEEVGANDI S HS HUNAGUND AIDED|BAGALKOT|HUNAGUND|HUNAGUND WARD.1
29020720201|GHS VIDYANAGAR HUNAGUND|BAGALKOT|HUNAGUND|HUNAGUND WARD 15
29020720401|VM GIRLS HS HUNAGUND AIDED|BAGALKOT|HUNAGUND|HUNAGUND WARD 16
29020720402|VM HS HUNAGUND AIDED|BAGALKOT|HUNAGUND|HUNAGUND WARD 16
29020720403|V M MADARI HS HUNAGUND UNAIDED|BAGALKOT|HUNAGUND|HUNAGUND WARD 16
29020720404|V M ENG MED HS HUNAGUND UNAIDED|BAGALKOT|HUNAGUND|HUNAGUND WARD 16
29020720405|LIONS ENGD MED HS HUNAGUND UNAIDED|BAGALKOT|HUNAGUND|HUNAGUND WARD 16
29020900101|GHS ADIHUDI|BAGALKOT|JAMAKHANDI|ADIHUDI
29020900201|GHS ALGUR P.K|BAGALKOT|JAMAKHANDI|ALAGUR
29020900202|SRI MAHAVEER HS ALAGUR|BAGALKOT|JAMAKHANDI|ALAGUR
29020900301|GHS ALBAL|BAGALKOT|JAMAKHANDI|ALBAL
29020900401|GHS ASANGI|BAGALKOT|JAMAKHANDI|ASANGI
29020900601|GOVT JR.COLLEGE BANAHATTII|BAGALKOT|JAMAKHANDI|BANAHATTI
29020900602|S.R.A.COMPOSITE JR.COLLEGE BANAHATTI|BAGALKOT|JAMAKHANDI|BANAHATTI
29020900701|SRI.KUMARESHWAR HS BIDARI AIDED|BAGALKOT|JAMAKHANDI|BIDARI
29020200610|BASAVESHWAR JR.COLLEGE VIDYGIRI-BAGALKOT|BAGALKOT|BAGALKOT|BAGALKOT (C M C)
29020200611|BASAVESHWAR ARTS JR.COLLEGE,BAGALKOT|BAGALKOT|BAGALKOT|BAGALKOT (C M C)
29020200612|BASAVESHWAR SCIENCE JR.COLLEGE,BAGALKOT|BAGALKOT|BAGALKOT|BAGALKOT (C M C)
29020200613|BASAVESHWAR COMMERCE,JR.COLLEGE,BAGALKOT|BAGALKOT|BAGALKOT|BAGALKOT (C M C)
29020200614|SANGMESHWAR PU COLLEGE VIDYGIRI, BAGALKOT|BAGALKOT|BAGALKOT|BAGALKOT (C M C)
29020200701|SRI.HEMARADDI M. HS BENAKATTI AIDED|BAGALKOT|BAGALKOT|BENAKATTI
29020200901|SRI MALLIKARJUN HS BENNUR (AID)|BAGALKOT|BAGALKOT|BENNUR
29020201101|ADARSH COMP JR.COLLEGE (HS-SECTION) AIDED BEVOOR|BAGALKOT|BAGALKOT|BEVOOR
29020201102|ADARASH COMP JR.COLLEGE BEVOOR|BAGALKOT|BAGALKOT|BEVOOR
29020201201|SRI.KONAMMADEVI M.S.BAGAHAVATI AIDED|BAGALKOT|BAGALKOT|BHAGAVATI
29020201202|GOVT JR.COLLEGE BHAGAVATI|BAGALKOT|BAGALKOT|BHAGAVATI
29020201401|MADYAMIK HS BILLKERUR UNAIDED|BAGALKOT|BAGALKOT|BILLKERUR
29020201501|GHS BODANAYAKDINNI|BAGALKOT|BAGALKOT|BODANAIKDINNI
29020201901|SHRI M. S. H.S. CHICKMYAGERI (AID)|BAGALKOT|BAGALKOT|CHIKKMYAGERI
29020202001|GHS CHIKKASHELLIKERI|BAGALKOT|BAGALKOT|CHIKKSHELLIKERI
29020202901|SRI MALIYAPPAYYA HS, GADDANKERI CROSS (AID)|BAGALKOT|BAGALKOT|GADDANAKERI
29020202902|MALIYAPPAAYYA COMPOSITE JR.COLLEGE GADDANKERI|BAGALKOT|BAGALKOT|GADDANAKERI
29020203101|SRI BASAVESHWARA HS, HALLUR (AID)|BAGALKOT|BAGALKOT|HALLUR
29020203701|SRI.BASAVESHWAR HS HIREGULBAL AIDED|BAGALKOT|BAGALKOT|HIREGULABAL
29020204501|SIDDARMESHWAR HS KADALIMATTI AIDED|BAGALKOT|BAGALKOT|KADLIMATTI
29020204601|GHS KADAMPUR|BAGALKOT|BAGALKOT|KADAMPUR
29020204701|GUHS KALADAGI|BAGALKOT|BAGALKOT|KALADGI
29020204702|SRI.GURLINGESHWAR HS KALADAGI AIDED|BAGALKOT|BAGALKOT|KALADGI
29020204703|HANNU BELEGARAR S HS KALADAGI UNAID|BAGALKOT|BAGALKOT|KALADGI
29020204704|GURULINGESHWAR JR.COLLEGE, KALADAGI|BAGALKOT|BAGALKOT|KALADGI
29020204705|MURARJI DESAI RES SCHOOL KALADAGI|BAGALKOT|BAGALKOT|KALADGI
29020205001|SHRI NUTAN VIDYALAY KHAJJIDONI (AID)|BAGALKOT|BAGALKOT|KAJJIDONI
29020205101|SRI.GOURISHANKAR HS KIRASUR UNAIDED|BAGALKOT|BAGALKOT|KIRASUR
29020205801|SRI MURARJI DESAI RES. H. S. MUCHKANDI|BAGALKOT|BAGALKOT|MUCHKANDI
29020205802|SRI.DURGADEVI HS MUCHAKANDI LT UNAIIDED|BAGALKOT|BAGALKOT|MUCHKANDI
29020206102|GOVT COMPOSIT JR.COLLEGE HS-SECTION MUGALALLI|BAGALKOT|BAGALKOT|MUGALALLI
29020206103|GOVT JR.COLLEGE MUGALALLI|BAGALKOT|BAGALKOT|MUGALALLI
29020206201|AKHANDESHWAR HS, MURNAL (P.K.) (AID)|BAGALKOT|BAGALKOT|MURNAL
29020206601|SRI HARALESHWARA MS, NAINEGALI|BAGALKOT|BAGALKOT|NAINEGALI
29020206602|GOVT JR.COLLEGE NAINEGALI|BAGALKOT|BAGALKOT|NAINEGALI
29020206801|GHS NEERALKERI|BAGALKOT|BAGALKOT|NEERALAKERI
29020206901|GOVT JR.COLLEGE RAMPUR|BAGALKOT|BAGALKOT|RAMAPUR
29020207701|GHS SIMIKERI P.K|BAGALKOT|BAGALKOT|SIMIKERI
29020207901|SRI SIDDESHWAR HS, SHIRUR (AID)|BAGALKOT|BAGALKOT|SHIRUR
29020207902|SRI.MURAJI DESAI R.S SHIRUR|BAGALKOT|BAGALKOT|SHIRUR
29020207903|S.S.G.V.JR.COLLEGE,SHIRUR|BAGALKOT|BAGALKOT|SHIRUR
29020207904|K.R.LAKKAMMA JR.COLLEGE,SHIRUR.|BAGALKOT|BAGALKOT|SHIRUR
29020207905|KITTUR CHANNAMMA GIRLS HS SHIRUR|BAGALKOT|BAGALKOT|SHIRUR
29020208001|GHS SITIMANI R.S(RAMPUR)|BAGALKOT|BAGALKOT|SITIMANI
29020208301|SRI S.K. HS SUTAGUNDAR (AID)|BAGALKOT|BAGALKOT|SUTAGUNDAR
29020208401|SRI.C.PATIL HS TALAGIHAL UNAIDED|BAGALKOT|BAGALKOT|TALAGIHAL
29020208402|GHS TALAGIHAL ILAL, SHIRAGUPPI PK|BAGALKOT|BAGALKOT|TALAGIHAL
29020208601|GHS SRI.H.U.P. TULASIGERI P.K|BAGALKOT|BAGALKOT|TULISIGERI
29020208901|GHS YADAHALLI|BAGALKOT|BAGALKOT|YADAHALLI
29020209001|GHS YANKANCHI|BAGALKOT|BAGALKOT|YANKANCHI
29020211003|KB KOP ENG M HS (VPMS) BGK UNAID|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.9
29020211004|SRI.S.S. COMP.JR.COLLEGE (HSS) BAGALKOT AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.9
29020211101|SRI.BASAVESHWAR GIRL HS BAGALKOT AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.10
29020211102|SRI.JAGADGUR M M.SCH BAGALKOT AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.10
29020211103|BASAVESHWAR NUTAN M.SCH BAGALKOT UNAID|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.10
29020211104|BASAVESHWAR NUTAN M.S.S.BAGALKOT UNAID|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.10
29020211106|SRI.BASAVESHWAR JR.COLL HGIH SCHOOL SECT BAGALKOT AID|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.10
29020211108|GOVT JTS BAGALKOT|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.10
29020211201|SRI SHARANA BASAVA HS, AIDED BGK|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.11
29020211202|VIVEKANAND HS BAGALKOT AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.11
29020211203|GOVT GIRLS COMP JR COLL HIGH SCH SECTION BGK|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.11
29020212101|B.V.V.S.C.B.S.E. VIDYAGIRI BGK|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.20
29020212102|B.V.V.S.SANGHAS ENG M HS VIDYGIRI|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.20
29020212201|ST.ANNES CONVEN HIGH SCHOOL VIDYGIRI  UNAID|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.21
29020212301|ANJUMAN HS NAVANAGAR BAGALKOT AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.22
29020212302|SRI.SATYASAI KAN HS NAVANAGAR UNAIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.22
29020212303|ANJUMAN GIRLS HS BAGALKOT AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.22
29020212304|ANJUMAN KAN M HS BAGALKOT AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.22
29020212305|SRI.SB PATIL COMP JR.COLLEGE NAVANAGAR AIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.22
29020212401|SRI.SATYSAI ENG.HS NAVNAGAR UNAIDED|BAGALKOT|BAGALKOT|BAGALKOT WARD NO,23
29020212801|SAJJALSHRI HS NAVANAGAR|BAGALKOT|BAGALKOT|BAGALKOT WARD NO.26
29010305301|GOVT. HIGH SCHOOL, MAHANTESH NAGAR, BELGAUM|BELGAUM|BELGAUM CITY|W.NO.53.BGM.CITY.
29010305302|LOVE DALE HIGH SCHOOL|BELGAUM|BELGAUM CITY|W.NO.53.BGM.CITY.
29010305401|UDAY ENG. MED. HIGH SCHOOL, PL NO. 570, RAMTHIRTH NAGAR, BELGAUM|BELGAUM|BELGAUM CITY|W.NO.54.BGM.CITY.
29010305501|BENSONS ENG. MED. HIGH SCHOOL, GANPAT GALLI, YAMANAPUR, BELGAUM|BELGAUM|BELGAUM CITY|W.NO.55.BGM.CITY.
29010305601|GOVT. HIGH SCHOOL, KANABARGI|BELGAUM|BELGAUM CITY|W.NO.56.BGM.CITY.
29010305602|GOVT. HIGH SCHOOL, RAMATHIRTH NAGAR, BELGAUM|BELGAUM|BELGAUM CITY|W.NO.56.BGM.CITY.
29010305603|SAMATA KANNADA HIGH SCHOOL,KANABARAGI, BELGAUM|BELGAUM|BELGAUM CITY|W.NO.56.BGM.CITY.
29010305604|SANGAMESH ENG HIGH SCHOOL|BELGAUM|BELGAUM CITY|W.NO.56.BGM.CITY.
29010305605|MM ENG MED HIGH SCHOOL MAHANTESHNAGAR|BELGAUM|BELGAUM CITY|W.NO.56.BGM.CITY.
29010305701|SHRI SIDDHESHWAR HIGH SCHOOL, KANABARGI, GOKAK ROAD, KANABARGI, BELGAUM|BELGAUM|BELGAUM CITY|W.NO.57.BGM.CITY.
29010305702|SSRD HIGH SCHOOL, KANABARGI|BELGAUM|BELGAUM CITY|W.NO.57.BGM.CITY.
29010305703|KALMESHWAR MAR HS BASAVANKUDACHI|BELGAUM|BELGAUM CITY|W.NO.57.BGM.CITY.
29010305801|MK PATIL HIGH SCHOOL, B KUDACHI, BELGAUM|BELGAUM|BELGAUM CITY|W.NO.58.BGM.CITY.
29010306001|BHARTESH HIGH SCHOOL FORT BELGAUM|BELGAUM|BELGAUM CITY|FORT.BGM.CITY.
29010306101|MODEL ENG. MED. SCHOOL, CAMP, BELGAUM|BELGAUM|BELGAUM CITY|CANTONMENT
29010306102|MARATHI VIDYANIKETAN HS, JYOTI COLLEGE, COMPOUND, CAMP, BELGAUM|BELGAUM|BELGAUM CITY|CANTONMENT
29010306103|BK MODEL HS, CAMP BELGAUM|BELGAUM|BELGAUM CITY|CANTONMENT
29010306104|BEYOND SMITH HS, CAMP BELGAUM|BELGAUM|BELGAUM CITY|CANTONMENT
29010306107|B.K MADEL MARATHI MED H.S,CANTONMENT|BELGAUM|BELGAUM CITY|CANTONMENT
29010306108|CANTONMENT URDU HS CAMP BELGAUM|BELGAUM|BELGAUM CITY|CANTONMENT
29010306109|ST ANTHONY KAN HIGH SCHOOL CAMP|BELGAUM|BELGAUM CITY|CANTONMENT
29010306201|PHOENIX ENG MED SCHOOL, BELGAUM, NEHRU NAGAR, BELGAUM|BELGAUM|BELGAUM CITY|NEHRU NAGAR
29010306301|AL-AMEEN ENG MED HIGH SCHOOL, BC NO 6, FORT, BELGAUM|BELGAUM|BELGAUM CITY|URBAN
29010306302|SEVEN DAY ADVENTIST ENG HS, 5TH CR AZAM CROSS, AZAM NAGAR, BGM|BELGAUM|BELGAUM CITY|URBAN
29010306401|SGV IND PU COLLEGE, SECTOR NO. 9, MAL MARUTI EXTN, BELGAUM 16 (PUC)|BELGAUM|BELGAUM CITY|MAL MARUTI EXTENSION
29010306501|GOOD SHEPHERDS PU SCIENCES COLLEGE, JAKKERI HONDA NEAR RAILWAY OVER BRIDGE, BELGAUM (PUC)|BELGAUM|BELGAUM CITY|BELGAUM
29010306502|KLE GOGTE PU COLLEGE OF COMMERCE ADN SCIENCES, TILAKWADI, BELGAUM (PUC)|BELGAUM|BELGAUM CITY|BELGAUM
29010306503|AL-AMEEN PU COLLEGE, 5TH CROSS AZAM NAGAR, BELGAUM (PUC)|BELGAUM|BELGAUM CITY|BELGAUM
29010306504|BEYNON SMITH COMPOSITE PU COLLEGE OF COMMEREC & ARTS CAMP, BELGAUM (PUC)|BELGAUM|BELGAUM CITY|BELGAUM
29010306505|JYOTI PU COLLEGE, CLUB ROAD, BELGAUM (PUC)|BELGAUM|BELGAUM CITY|BELGAUM
29010400101|S.S EDN TRUST ,AGASAGA  HS,AGASAGA|BELGAUM|BELGAUM RURAL.|AGASAGE
29010400402|GOVT. HIGH SCHOOL, ARALIKATTI|BELGAUM|BELGAUM RURAL.|ARALIKATTI
29010400602|BHAGATSING HS AMBEWADI|BELGAUM|BELGAUM RURAL.|AMBEWADI
29010400701|GHS BHADAL ANKALGI|BELGAUM|BELGAUM RURAL.|ANKALGI
29010400801|MM BASTWAD HS, BSD|BELGAUM|BELGAUM RURAL.|BASTWAD
29010401001|MARATHA MANDAL HS (UNAIDED) BASARIKATTI|BELGAUM|BELGAUM RURAL.|BASRIKATTI
29010401002|DMS MAHALAXMI HS (UNAIDED) BASARIKARIKATTI|BELGAUM|BELGAUM RURAL.|BASRIKATTI
29010401301|MAHATMA GANDHI VIDYALAY BAMBARGE|BELGAUM|BELGAUM RURAL.|BAMBARGE
29010401302|GOVT. HS, NEW IDDALHOND (SHIVAPUR)|BELGAUM|BELGAUM RURAL.|BAMBARGE
29010401701|GOVT. HIGH SCHOOL, MAVINAKATTI|BELGAUM|BELGAUM RURAL.|BALEKUNDRI K.H.
29010401702|JANATA COMP PU COLLEGE, SAMBRA BALEKUNDRI KH, (PUC)|BELGAUM|BELGAUM RURAL.|BALEKUNDRI K.H.
29010401902|NEW ENG.MED H.S,BIJAGARNI|BELGAUM|BELGAUM RURAL.|BIJAGARNI
29010402001|SHRI BHAGWAN MAHAVEER JAIN ENG MED RES HS ,BUTTRAMANHATTI|BELGAUM|BELGAUM RURAL.|BHUTARAMANAHATTI
29010402002|SS HIGH SCHOOL MUKTIMATH BHUTRAMHATTI UNAIDED|BELGAUM|BELGAUM RURAL.|BHUTARAMANAHATTI
29010402201|SHRI NAGANATH HS,BEKKINKERE|BELGAUM|BELGAUM RURAL.|BEKKINAKERI
29010402301|SHIVRAJ HS,BENKANHALLI|BELGAUM|BELGAUM RURAL.|BENAKANHALLI
29010402401|BELGUNDI HIGH SCHOOL.BELGUNDI|BELGAUM|BELGAUM RURAL.|BELGUNDI
29010402402|VBSS HIGH SCHOOL (AIDED) BELAGUNDI|BELGAUM|BELGAUM RURAL.|BELGUNDI
29010402501|MADHYAMIK VIDYALAY, BELVATTI|BELGAUM|BELGAUM RURAL.|BELAWATTI
29010403301|M.V.DHAMANE(S)|BELGAUM|BELGAUM RURAL.|DHAMANE (S).
29010403401|DESUR H.S,DESUR|BELGAUM|BELGAUM RURAL.|DESUR
29010403402|DMS HS (AIDED) DESUR|BELGAUM|BELGAUM RURAL.|DESUR
29010403601|VIDYA NIKETAN H.S,GAJAPATI|BELGAUM|BELGAUM RURAL.|GEJAPATI
29010403701|KARMVEER BHAURAO PATIL HS,GOJAGE|BELGAUM|BELGAUM RURAL.|GOJAGE
29010403901|MAHATMA GANDHI HIGH SCHOOL, GOUNDWAD|BELGAUM|BELGAUM RURAL.|GOUNDWAD
29010404001|SMT, J.R.D HS HALAGA|BELGAUM|BELGAUM RURAL.|HALGA
29010404002|SHARDHA GIRLS HS HALAGA|BELGAUM|BELGAUM RURAL.|HALGA
29010404003|SMT JRD MAR MED HS,HALAGA|BELGAUM|BELGAUM RURAL.|HALGA
29010404101|SARASWATI H.S,HANDIGNUR|BELGAUM|BELGAUM RURAL.|HANDIGANNUR
29010404102|SARASWATI PU COLLEGE, HANDIGNUR (PUC)|BELGAUM|BELGAUM RURAL.|HANDIGANNUR
29010404301|KAMALADEVI HIGH SCJOOL HANGARGA|BELGAUM|BELGAUM RURAL.|HANGARGE
29010404501|KARNATAKA H.S,HIRE BAGEWADI|BELGAUM|BELGAUM RURAL.|HIREBAGEWADI
29010404502|GOVT. PU COLLEGE, HIREBAGEWADI|BELGAUM|BELGAUM RURAL.|HIREBAGEWADI
29010404503|GOUSIA HS HIREBAGEWADI|BELGAUM|BELGAUM RURAL.|HIREBAGEWADI
29010404504|KARNATAKA PU COLLEGE, HIREBAGEWADI (PUC)|BELGAUM|BELGAUM RURAL.|HIREBAGEWADI
29010404505|GOVT. PU COLLEGE, HIREBAGEWADI (PUC)|BELGAUM|BELGAUM RURAL.|HIREBAGEWADI
29020906902|GOVT JR.COLLEGE TUNGAL|BAGALKOT|JAMAKHANDI|TUNGAL
29020907201|GHS RAMPUR|BAGALKOT|JAMAKHANDI|RAMPUR
29020907202|PURNA PRAJNYA JR.COLLEGE RAMPUR|BAGALKOT|JAMAKHANDI|RAMPUR
29020907401|SWAMY VIVEKANAND ENG MED HS JKD|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.1
29020907402|SWAMY VIVEKANAND KAN MED HS JKD|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.1
29020907901|D.B.E SAMSTHE HS KATENAGER JAMAKHANDI AIDED|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.6
29020908201|GOVT GIRLS COMP (HS SECTION) JR.COLL. JAMAKHANDI|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.9
29020908202|JYANAGANGOTRI HS KAN M MAHANTESHNAGAR JKD|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.9
29020908203|JYANAGANGOTRI HS ENG M MAHANTESHNAGAR JKD|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.9
29020908501|B.S.COMPOSIT JR.COLL KADAPATTI JAMKHANDI AIDED|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.12
29020908502|GUHS JAMAKHANDI|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.12
29020908503|K.K.TUNGAL ENG M HS JAMAKHANDI UNAIDED|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.12
29020908504|TUNGAL K.M. HS JAMAKHANDI UNAIDED|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.12
29020908505|ROYAL PALACE SCH JAMAKHANDI|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.12
29020908801|GOVT BOYS JR.COLLEGE JAMAKHANDI|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.15
29020908802|GOVT BOYS  PB(BOYS)  HS SEC  PU COLLEG JKD|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.15
29020909101|BHAKT KANAKDAS HS JAMAKHANDI AIDED|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.18
29020910301|GUHS RABAKAVI|BAGALKOT|JAMAKHANDI|JAMAKHANDI WARD.NO.30
29020910601|SRI.AKKAMADEVI B.HS BANAHATTI UNAIDED|BAGALKOT|JAMAKHANDI|RABKAVI-BANHATTI W.NO.2
29020910701|SRI.BASAVESHWAR M.S. BANAHATTI UNAID|BAGALKOT|JAMAKHANDI|RABKAVI-BANHATTI W.NO.3
29020911001|GOVT (HS) JR COLLEGE RABKAVI BANAHATTI|BAGALKOT|JAMAKHANDI|RABKAVI-BANHATTI W.NO.6
29020911101|MALLIKARJUN K.M- HS BANAHATTI UNAIDED|BAGALKOT|JAMAKHANDI|RABKAVI-BANHATTI W.NO.7
29020911201|SRA COMP JR COLLEGE HS SECTION BANAHATTI AID|BAGALKOT|JAMAKHANDI|RABKAVI-BANHATTI W.NO.8
29020912101|P.P.S.S. ENG M HS RAMPUR UNAIDED|BAGALKOT|JAMAKHANDI|RABKAVI-BANHATTI W.NO.17
29020912102|P.P.S.S. KAN M HS RAMPUR UNAIDED|BAGALKOT|JAMAKHANDI|RABKAVI-BANHATTI W.NO.17
